Date,EUR,INR,ISK,JPY,KRW,NOK
09-18-2014,0.77821,60.908001,119.230003,108.515999,1033.599976,6.44099
09-19-2014,0.77399,60.689999,119.269997,108.800003,1042.599976,6.32053
09-22-2014,0.77873,60.853001,119.660004,108.940002,1022.799988,6.35354
09-23-2014,0.77812,61,119.269997,108.75,1039.800049,6.34357
09-24-2014,0.77797,60.98,119.440002,108.542,1038.800049,6.3484
09-25-2014,0.78259,60.810001,119.93,109.316002,1038.699951,6.39313
09-26-2014,0.78388,61.490002,119.699997,108.610001,1042.599976,6.393
09-29-2014,0.78907,61.138,120.230003,109.411003,1026,6.4601
09-30-2014,0.78797,61.553001,120.949997,109.389999,1052.199951,6.441
10-01-2014,0.79187,61.82,120.849998,109.660004,1053.900024,6.42855
10-02-2014,0.79213,61.713001,120.57,109.019997,1061.800049,6.44357
10-03-2014,0.78923,61.439999,120.779999,108.523003,1060.199951,6.44323
10-06-2014,0.79913,61.537998,120.900002,109.802002,1060.099976,6.52603
10-07-2014,0.79076,61.209999,120.709999,108.867996,1067.900024,6.47827
10-08-2014,0.78939,61.27,119.949997,108.071999,1068.699951,6.45862
10-09-2014,0.78474,60.880001,119.419998,108.126999,1074.069946,6.43676
10-10-2014,0.78808,61.02,120.480003,107.830002,1062.5,6.47326
10-13-2014,0.79115,61.278,120.68,107.337997,1051.900024,6.51047
10-14-2014,0.78592,61.002998,120.730003,107.063004,1065.5,6.48738
10-15-2014,0.7912,61.393002,120.650002,107.314003,1064.199951,6.5794
10-16-2014,0.77993,61.373001,120.199997,105.980003,1059.699951,6.54889
10-17-2014,0.78098,61.723,119.360001,106.404999,1060,6.56331
10-20-2014,0.78434,61.358002,119.790001,107.143997,1063,6.5453
10-21-2014,0.78154,61.228001,119.809998,106.910004,1054.900024,6.5577
10-22-2014,0.78649,61.143002,120.330002,107.021004,1054.099976,6.56776
10-23-2014,0.79105,61.099998,120.599998,107.148003,1052.199951,6.61456
10-24-2014,0.79026,61.130001,120.800003,108.161003,1058.400024,6.56797
10-27-2014,0.78885,61.162998,120.779999,108.202003,1055.599976,6.58524
10-28-2014,0.78731,61.298,120.919998,107.843002,1049.51001,6.58432
10-29-2014,0.78503,61.181,120.610001,108.112,1045.560059,6.6106
10-30-2014,0.79159,61.283001,121.610001,108.846001,1053.099976,6.70089
10-31-2014,0.79281,61.432999,121.589996,109.212997,1053.800049,6.7022
11-03-2014,0.7998,61.397999,122.220001,112.841003,1051.199951,6.7619
11-04-2014,0.80026,61.412998,122.190002,113.648003,1081.599976,6.7969
11-05-2014,0.79665,61.287998,122.629997,113.480003,1076.900024,6.85674
11-06-2014,0.80128,61.369999,122.980003,114.654999,1088.5,6.82996
11-07-2014,0.80775,61.493,123.830002,115.176003,1089.900024,6.86679
11-10-2014,0.80248,61.513,123.129997,114.532997,1064.400024,6.80091
11-11-2014,0.80451,61.529999,124.129997,114.752998,1087.400024,6.8097
11-12-2014,0.80155,61.490002,123.660004,115.721001,1095.300049,6.7934
11-13-2014,0.80451,61.368,123.660004,115.57,1093.5,6.8084
11-14-2014,0.80154,61.592999,124.080002,115.823997,1095.400024,6.78825
11-17-2014,0.79882,61.708,123.650002,116.896004,1100,6.74561
11-18-2014,0.80328,61.823002,123.199997,116.646004,1100.099976,6.7846
11-19-2014,0.79787,61.717999,122.980003,116.869003,1100.400024,6.7358
11-20-2014,0.7974,61.938,122.970001,118.148003,1113.099976,6.8073
11-21-2014,0.79713,61.923,123.190002,118.236,1111.900024,6.76653
11-24-2014,0.80808,61.759998,123.900002,117.744003,1111.699951,6.79407
11-25-2014,0.8043,61.853001,123.800003,118.454002,1113.5,6.7963
11-26-2014,0.80124,61.84,123.419998,117.801003,1107.900024,6.7964
11-27-2014,0.79962,61.787998,123.279999,117.629997,1102.5,6.8304
11-28-2014,0.80244,61.853001,123.410004,117.839996,1099.099976,6.93112
12-01-2014,0.80397,62.202999,123.25,118.863998,1088.5,7.05424
12-02-2014,0.80192,61.948002,123.379997,118.307999,1108.599976,6.9413
12-03-2014,0.8072,61.787998,124.199997,119.194,1113.209961,7.02447
12-04-2014,0.81191,61.855999,124.339996,119.861,1114.699951,7.02518
12-05-2014,0.80732,61.783001,123.779999,119.811996,1110.140015,7.0571
12-08-2014,0.8134,61.910999,125.010002,121.560997,1119.599976,7.13694
12-09-2014,0.81201,61.818001,123.970001,120.650002,1111.400024,7.1682
12-10-2014,0.80678,61.873001,123.760002,119.342003,1102.599976,7.10356
12-11-2014,0.80167,62.002998,123.349998,117.709,1100.400024,7.14052
12-12-2014,0.80678,62.473,123.440002,119.007004,1100.800049,7.31103
